	id_test	id_answer
0	3	267
1	3	508
2	3	414
3	3	453
4	3	427
5	3	462
6	3	329
7	3	325
8	3	565
9	3	534
10	3	339
11	3	509
12	3	356
13	3	260
14	3	669
15	3	202
16	3	397
17	3	233
18	3	379
19	3	231
20	3	525
21	3	607
22	3	299
23	3	559
24	3	281
25	4	267
26	4	669
27	4	453
28	4	339
29	4	508
30	4	325
31	4	329
32	4	565
33	4	356
34	4	585
35	4	544
36	4	607
37	4	462
38	4	311
39	4	566
40	4	423
41	4	414
42	4	231
43	4	532
44	4	299
45	4	202
46	4	260
47	4	541
48	4	427
49	4	351
50	5	508
51	5	267
52	5	669
53	5	509
54	5	453
55	5	507
56	5	260
57	5	329
58	5	504
59	5	325
60	5	427
61	5	498
62	5	281
63	5	310
64	5	414
65	5	487
66	5	462
67	5	356
68	5	413
69	5	451
70	5	565
71	5	510
72	5	209
73	5	444
74	5	202
75	8	267
76	8	453
77	8	356
78	8	202
79	8	231
80	8	508
81	8	233
82	8	325
83	8	413
84	8	254
85	8	462
86	8	401
87	8	504
88	8	607
89	8	260
90	8	379
91	8	383
92	8	280
93	8	397
94	8	278
95	8	423
96	8	472
97	8	532
98	8	421
99	8	201
100	41	267
101	41	453
102	41	669
103	41	356
104	41	504
105	41	233
106	41	231
107	41	397
108	41	560
109	41	559
110	41	528
111	41	225
112	41	566
113	41	557
114	41	371
115	41	413
116	41	668
117	41	532
118	41	319
119	41	254
120	41	202
121	41	731
122	41	432
123	41	510
124	41	564
125	43	267
126	43	453
127	43	325
128	43	356
129	43	202
130	43	669
131	43	231
132	43	233
133	43	254
134	43	413
135	43	250
136	43	401
137	43	195
138	43	191
139	43	278
140	43	307
141	43	397
142	43	458
143	43	201
144	43	288
145	43	560
146	43	504
147	43	532
148	43	283
149	43	313
150	46	267
151	46	453
152	46	356
153	46	231
154	46	202
155	46	233
156	46	508
157	46	413
158	46	254
159	46	669
160	46	504
161	46	325
162	46	250
163	46	397
164	46	532
165	46	492
166	46	260
167	46	423
168	46	280
169	46	562
170	46	458
171	46	278
172	46	201
173	46	510
174	46	401
175	48	267
176	48	453
177	48	356
178	48	202
179	48	231
180	48	233
181	48	413
182	48	508
183	48	254
184	48	250
185	48	325
186	48	397
187	48	401
188	48	504
189	48	280
190	48	669
191	48	532
192	48	278
193	48	458
194	48	562
195	48	607
196	48	201
197	48	510
198	48	579
199	48	482
200	49	267
201	49	453
202	49	356
203	49	669
204	49	231
205	49	413
206	49	233
207	49	202
208	49	379
209	49	397
210	49	508
211	49	260
212	49	504
213	49	525
214	49	325
215	49	254
216	49	562
217	49	462
218	49	458
219	49	563
220	49	579
221	49	401
222	49	329
223	49	456
224	49	280
225	53	267
226	53	453
227	53	508
228	53	414
229	53	462
230	53	339
231	53	427
232	53	356
233	53	509
234	53	202
235	53	534
236	53	329
237	53	669
238	53	260
239	53	397
240	53	233
241	53	231
242	53	325
243	53	565
244	53	379
245	53	525
246	53	299
247	53	559
248	53	281
249	53	413
250	91	267
251	91	453
252	91	508
253	91	356
254	91	231
255	91	233
256	91	202
257	91	504
258	91	413
259	91	510
260	91	325
261	91	669
262	91	329
263	91	284
264	91	401
265	91	544
266	91	498
267	91	427
268	91	303
269	91	509
270	91	562
271	91	254
272	91	532
273	91	565
274	91	260
275	93	267
276	93	453
277	93	508
278	93	356
279	93	669
280	93	231
281	93	233
282	93	202
283	93	504
284	93	413
285	93	510
286	93	509
287	93	325
288	93	532
289	93	254
290	93	401
291	93	607
292	93	729
293	93	397
294	93	498
295	93	458
296	93	371
297	93	250
298	93	728
299	93	280
300	95	669
301	95	267
302	95	453
303	95	508
304	95	395
305	95	566
306	95	311
307	95	349
308	95	564
309	95	492
310	95	558
311	95	484
312	95	576
313	95	532
314	95	728
315	95	233
316	95	413
317	95	554
318	95	460
319	95	495
320	95	729
321	95	313
322	95	482
323	95	442
324	95	452
325	110	267
326	110	453
327	110	356
328	110	202
329	110	231
330	110	233
331	110	508
332	110	413
333	110	254
334	110	250
335	110	532
336	110	325
337	110	397
338	110	504
339	110	280
340	110	669
341	110	401
342	110	278
343	110	562
344	110	458
345	110	201
346	110	607
347	110	580
348	110	260
349	110	579
350	112	267
351	112	453
352	112	462
353	112	403
354	112	414
355	112	508
356	112	327
357	112	395
358	112	356
359	112	565
360	112	427
361	112	401
362	112	581
363	112	669
364	112	413
365	112	421
366	112	325
367	112	556
368	112	254
369	112	233
370	112	202
371	112	551
372	112	231
373	112	329
374	112	607
375	121	267
376	121	453
377	121	669
378	121	356
379	121	413
380	121	508
381	121	563
382	121	231
383	121	504
384	121	202
385	121	233
386	121	325
387	121	371
388	121	559
389	121	397
390	121	528
391	121	469
392	121	254
393	121	444
394	121	532
395	121	303
396	121	458
397	121	496
398	121	313
399	121	401
400	137	669
401	137	563
402	137	559
403	137	558
404	137	532
405	137	508
406	137	492
407	137	484
408	137	463
409	137	456
410	137	453
411	137	383
412	137	370
413	137	361
414	137	357
415	137	267
416	137	731
417	137	576
418	137	565
419	137	562
420	137	528
421	137	504
422	137	427
423	137	420
424	137	335
425	138	669
426	138	563
427	138	267
428	138	559
429	138	554
430	138	453
431	138	553
432	138	368
433	138	366
434	138	555
435	138	325
436	138	186
437	138	245
438	138	370
439	138	428
440	138	225
441	138	508
442	138	365
443	138	556
444	138	413
445	138	356
446	138	454
447	138	318
448	138	557
449	138	371
450	202	669
451	202	453
452	202	267
453	202	353
454	202	463
455	202	508
456	202	427
457	202	350
458	202	310
459	202	303
460	202	556
461	202	484
462	202	357
463	202	607
464	202	328
465	202	509
466	202	532
467	202	426
468	202	731
469	202	314
470	202	504
471	202	260
472	202	391
473	202	543
474	202	544
475	203	669
476	203	668
477	203	563
478	203	559
479	203	557
480	203	555
481	203	554
482	203	553
483	203	508
484	203	504
485	203	463
486	203	453
487	203	371
488	203	370
489	203	368
490	203	353
491	203	350
492	203	310
493	203	303
494	203	267
495	203	510
496	203	357
497	203	325
498	203	311
499	203	454
500	208	267
501	208	453
502	208	325
503	208	356
504	208	556
505	208	565
506	208	669
507	208	413
508	208	231
509	208	202
510	208	254
511	208	508
512	208	544
513	208	233
514	208	371
515	208	462
516	208	607
517	208	260
518	208	504
519	208	327
520	208	383
521	208	204
522	208	451
523	208	250
524	208	427
525	217	267
526	217	453
527	217	356
528	217	202
529	217	231
530	217	233
531	217	413
532	217	254
533	217	508
534	217	504
535	217	250
536	217	325
537	217	397
538	217	401
539	217	532
540	217	278
541	217	194
542	217	280
543	217	607
544	217	201
545	217	562
546	217	352
547	217	190
548	217	596
549	217	393
550	225	267
551	225	453
552	225	556
553	225	356
554	225	508
555	225	669
556	225	202
557	225	231
558	225	364
559	225	353
560	225	504
561	225	233
562	225	413
563	225	325
564	225	401
565	225	427
566	225	328
567	225	532
568	225	562
569	225	557
570	225	254
571	225	579
572	225	389
573	225	544
574	225	348
575	236	267
576	236	453
577	236	356
578	236	231
579	236	202
580	236	233
581	236	413
582	236	254
583	236	325
584	236	508
585	236	401
586	236	278
587	236	260
588	236	250
589	236	280
590	236	504
591	236	607
592	236	379
593	236	532
594	236	421
595	236	517
596	236	472
597	236	201
598	236	397
599	236	492
600	237	267
601	237	453
602	237	356
603	237	231
604	237	233
605	237	202
606	237	413
607	237	508
608	237	254
609	237	325
610	237	260
611	237	421
612	237	278
613	237	401
614	237	379
615	237	517
616	237	462
617	237	318
618	237	532
619	237	201
620	237	607
621	237	190
622	237	249
623	237	280
624	237	528
625	238	353
626	238	350
627	238	267
628	238	669
629	238	508
630	238	504
631	238	498
632	238	463
633	238	318
634	238	510
635	238	453
636	238	284
637	238	303
638	238	487
639	238	509
640	238	314
641	238	311
642	238	511
643	238	396
644	238	728
645	238	325
646	238	507
647	238	444
648	238	484
649	238	462
650	246	267
651	246	453
652	246	356
653	246	231
654	246	233
655	246	202
656	246	413
657	246	254
658	246	508
659	246	397
660	246	325
661	246	250
662	246	504
663	246	280
664	246	401
665	246	278
666	246	528
667	246	532
668	246	669
669	246	607
670	246	201
671	246	423
672	246	596
673	246	249
674	246	255
675	248	750
676	248	748
677	248	731
678	248	728
679	248	709
680	248	669
681	248	668
682	248	648
683	248	632
684	248	631
685	248	630
686	248	628
687	248	627
688	248	608
689	248	584
690	248	583
691	248	582
692	248	580
693	248	579
